                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "15.2.0"                   "aarch64-macos-26.3.2"                                 "CRMATH"                               "20260504"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      660                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.9922966022021236E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.9922966022021236E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967167081511128E+000                  5.0499059732879417E-007                 -6.2967167081511128E+000                 -9.8999999999999986E+001                 -2.1975189683470624E+001                 -6.2967167081511128E+000                  5.0499059732879417E-007                 -6.2967167081515347E+000                 -1.8309422423677638E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946696870354367E+000                  1.0819312360373445E+000                  6.7427940481229642E-001                  3.3905388133425212E+000                  0.0000000000000000E+000                  1.3870180630030791E+001                 -7.7315836655695491E-001                  6.5164905087359291E+000                  6.2124534468955761E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860798E-003                  9.3805276451495393E-003                  1.3999999999999997E+000                  5.5994040472949769E-001                                        0                                        3 
                                       5                                      658                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468976750381614E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468976750381614E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967167094204717E+000                  5.0499059585280379E-007                 -6.2967167094204717E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2967167094204717E+000                  5.0499059585280379E-007                 -6.2967167094208936E+000                 -1.8309422496581885E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946655054218032E+000                  1.0819145421794907E+000                  6.7427942111063555E-001                  3.3905387807458429E+000                  0.0000000000000000E+000                  1.3870180630997483E+001                 -7.7315836595569809E-001                  6.5164905090984293E+000                  6.2124534468932913E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860798E-003                  9.3805276451495393E-003                  1.3999999999999997E+000                  5.5994040472949769E-001                                        0                                        2 
                                      10                                      658                  2.5958682111999997E-004                 -4.2873687855713758E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468893023640135E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468893023640135E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967167182437782E+000                  5.0499058559320648E-007                 -6.2967167182437782E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2967167182437782E+000                  5.0499058559320648E-007                 -6.2967167182442001E+000                 -1.8309422947109876E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946665751926351E+000                  1.0819188301199869E+000                  6.7427942553922071E-001                  3.3905387718886728E+000                  0.0000000000000000E+000                  1.3870180636578143E+001                 -7.7315836253897097E-001                  6.5164905112441600E+000                  6.2124534468796055E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495410E-003                  3.4468833607860807E-003                  9.3805276451495393E-003                  1.4000000000000004E+000                  5.5994040472949780E-001                                        0                                        2 
                                      15                                      658                  7.2035107872931814E-004                 -3.8914625553332525E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468889455042591E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468889455042591E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967167503552668E+000                  5.0499054825448930E-007                 -6.2967167503552668E+000                 -9.8999999999999986E+001                 -2.1674159687806643E+001                 -6.2967167503552668E+000                  5.0499054825448930E-007                 -6.2967167503556887E+000                 -1.8309424477664578E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946665820032072E+000                  1.0819188566371785E+000                  6.7427942517667216E-001                  3.3905387726137697E+000                  0.0000000000000000E+000                  1.3870180655535767E+001                 -7.7315835098114949E-001                  6.5164905185810458E+000                  6.2124534468326920E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860798E-003                  9.3805276451495393E-003                  1.3999999999999997E+000                  5.5994040472949769E-001                                        0                                        2 
                                      20                                      658                  1.8668799962237366E-003                 -3.4955563250951283E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468973895536686E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2468973895536686E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967168213915574E+000                  5.0499046565465468E-007                 -6.2967168213915574E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2967168213915574E+000                  5.0499046565465468E-007                 -6.2967168213919793E+000                 -1.8309427472160543E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946665571104722E+000                  1.0819187558168177E+000                  6.7427942455196233E-001                  3.3905387738631894E+000                  0.0000000000000000E+000                  1.3870180695054282E+001                 -7.7315832683404906E-001                  6.5164905338225187E+000                  6.2124534467353731E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495410E-003                  3.4468833607860807E-003                  9.3805276451495393E-003                  1.4000000000000004E+000                  5.5994040472949780E-001                                        0                                        2 
                                      25                                      658                  4.7198108322034473E-003                 -3.0996500948570040E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2469345197441972E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2469345197441972E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967169407647585E+000                  5.0499032684948298E-007                 -6.2967169407647585E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2967169407647585E+000                  5.0499032684948298E-007                 -6.2967169407651804E+000                 -1.8309431484659790E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946665504800911E+000                  1.0819187274821307E+000                  6.7427942364538029E-001                  3.3905387756763536E+000                  0.0000000000000000E+000                  1.3870180756849694E+001                 -7.7315828876729753E-001                  6.5164905573549223E+000                  6.2124534465858916E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860798E-003                  9.3805276451495393E-003                  1.3999999999999997E+000                  5.5994040472949769E-001                                        0                                        2 
                                      30                                      658                  1.1818815689988481E-002                 -2.7037438646188803E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2470958177585201E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2470958177585201E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967171084203875E+000                  5.0499013190237164E-007                 -6.2967171084203875E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2967171084203875E+000                  5.0499013190237164E-007                 -6.2967171084208093E+000                 -1.8309435458043172E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946665494846052E+000                  1.0819187189894752E+000                  6.7427942139002361E-001                  3.3905387801870668E+000                  0.0000000000000000E+000                  1.3870180842121295E+001                 -7.7315823532090877E-001                  6.5164905889299920E+000                  6.2124534463876702E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495410E-003                  3.4468833607860807E-003                  9.3805276451495393E-003                  1.4000000000000004E+000                  5.5994040472949780E-001                                        0                                        2 
                                      35                                      658                  2.9483411457712130E-002                 -2.3078376343807561E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2478221598310583E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2478221598310583E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967172843093060E+000                  5.0498992738181347E-007                 -6.2967172843093051E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.2967172843093060E+000                  5.0498992738181347E-007                 -6.2967172843097270E+000                 -1.8309438224411167E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946665493837791E+000                  1.0819187064494191E+000                  6.7427941532164826E-001                  3.3905387923238175E+000                  0.0000000000000000E+000                  1.3870180956495581E+001                 -7.7315816126969805E-001                  6.5164906289708107E+000                  6.2124534461425174E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860798E-003                  9.3805276451495393E-003                  1.3999999999999997E+000                  5.5994040472949769E-001                                        0                                        2 
                                      40                                      658                  7.3438578398454232E-002                 -1.9119314041426323E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2512562765225724E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999701399978E-001                  1.2512562765225724E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.2967173328867849E+000                  5.0498987089678409E-007                 -6.2967173328867849E+000                 -9.8999999999999986E+001                 -2.1975189683470624E+001                 -6.2967173328867849E+000                  5.0498987089678409E-007                 -6.2967173328872068E+000                 -1.8309439160068994E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6946665496290563E+000                  1.0819186756396246E+000                  6.7427939942619730E-001                  3.3905388241147194E+000                  0.0000000000000000E+000                  1.3870181119697056E+001                 -7.7315805016243444E-001                  6.5164906807848828E+000                  6.2124534458404224E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495410E-003                  3.4468833607860807E-003                  9.3805276451495393E-003                  1.4000000000000004E+000                  5.5994040472949780E-001                                        0                                        2 
