                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     150                                      696                  2.0000000000000000E+000                  2.0000000000000000E-002                  4.0246278545202687E+006                  1.6601967377117660E+005                  5.7330657804734410E+003                  7.2357433020416995E+000                  2.7265965873834213E+000                 -3.2029150116178458E+000                  6.9999895676631441E-001                  3.0840362690224028E-005                  2.7997020266630740E-001                  3.4468821328325770E-003                  1.0103441733436750E-003                  9.3805276453807866E-003                  2.0850244238750358E-003                  2.0000000000000000E+000                  0.0000000000000000E+000                  1.3999998013758765E+000                  5.9793869988345255E-005                  5.5994040474483864E-001                  6.8937666657990825E-003                  2.0206855469276767E-003                  1.8761055290308373E-002                  4.1700488477500732E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1862026079858733E+004                  4.7745985462479601E+006                  2.7640560430545716E+009                  1.0558758646067232E-002                  1.0558758646067227E-002                  0.0000000000000000E+000                  4.2286384496702196E-004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.2700759598180883E+014                                "r26.4.1"                               "gfortran"                                 "15.2.0"                   "aarch64-macos-26.3.2"                                 "CRMATH"                               "20260504"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha                               luminosity 
                                       1                  2.0000000000000000E+000                  4.3562088681090444E-001                  3.7584521423418527E+000                 -7.1307239855082205E+000                  4.4317117100408634E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.0857539990583366E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020416995E+000 
                                       2                  1.9999999999979998E+000                  4.3562061472497937E-001                  3.7586602384838943E+000                 -7.1292737675823918E+000                  4.4333703816027601E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.0893866161626191E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020458881E+000 
                                       3                  1.9999999999936251E+000                  4.3562002151941204E-001                  3.7589473863138299E+000                 -7.1272950643039650E+000                  4.4356367363681608E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.0943626386642921E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020464104E+000 
                                       4                  1.9999999999892502E+000                  4.3561943100800582E-001                  3.7592772655508386E+000                 -7.1250498016609729E+000                  4.4382124703894750E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1000365394177478E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020469317E+000 
                                       5                  1.9999999999836251E+000                  4.3561867569055923E-001                  3.7596509141520995E+000                 -7.1225445618030623E+000                  4.4410920477030134E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1064021520065279E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020476041E+000 
                                       6                  1.9999999999780000E+000                  4.3561792471373417E-001                  3.7602568436177983E+000                 -7.1185520830207594E+000                  4.4456916092699803E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1166229447386111E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020482755E+000 
                                       7                  1.9999999999655000E+000                  4.3561627113396700E-001                  3.7611055923317713E+000                 -7.1131371043571772E+000                  4.4519570382627291E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1306364118392770E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020497677E+000 
                                       8                  1.9999999999530000E+000                  4.3561463802523326E-001                  3.7623976774926340E+000                 -7.1051999531363670E+000                  4.4611890315910081E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1514955074142001E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020512607E+000 
                                       9                  1.9999999999280003E+000                  4.3561143090526466E-001                  3.7650622875174213E+000                 -7.0899750639223873E+000                  4.4790848615971246E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.1925903077770430E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020542494E+000 
                                      10                  1.9999999998779998E+000                  4.3560523742991608E-001                  3.7688527987447218E+000                 -7.0710061436564384E+000                  4.5018548817536592E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.2458491318824327E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020602260E+000 
                                      11                  1.9999999998279998E+000                  4.3559930839952132E-001                  3.7729005212277351E+000                 -7.0534305168357330E+000                  4.5234914639401245E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.2973168406207533E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020662061E+000 
                                      12                  1.9999999997780000E+000                  4.3559361429434690E-001                  3.7777758915724351E+000                 -7.0352049018724507E+000                  4.5466110215745825E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.3529350145302992E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020721915E+000 
                                      13                  1.9999999997154998E+000                  4.3558678888564334E-001                  3.7837126620783970E+000                 -7.0168443410372552E+000                  4.5709351335974162E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.4113766066362828E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020796789E+000 
                                      14                  1.9999999996530000E+000                  4.3558024571639531E-001                  3.7902551901507251E+000                 -7.0003871006175196E+000                  4.5939701982704051E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.4659025784739173E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020871698E+000 
                                      15                  1.9999999995905000E+000                  4.3557394557671009E-001                  3.7957089787137672E+000                 -6.9893663848385517E+000                  4.6104794913882357E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.5035891886279598E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020946678E+000 
                                      16                  1.9999999995592501E+000                  4.3557087433834585E-001                  3.7995429920296804E+000                 -6.9825601550396836E+000                  4.6211473235047666E+000                  6.9999999993737605E-001                  2.8000000006262415E-001                  1.9999999999999796E-002                  1.5273463328735439E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433020984185E+000 
                                      17                  1.9999999995280002E+000                  4.3556785079334537E-001                  3.8056340941262907E+000                 -6.9731747195256713E+000                  4.6366737034585164E+000                  6.9999999993737605E-001                  2.8000000006262415E-001                  1.9999999999999796E-002                  1.5607232075229365E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433021021711E+000 
                                      18                  1.9999999994655002E+000                  4.3556193280086486E-001                  3.8148659069319879E+000                 -6.9626238426741596E+000                  4.6565491517555211E+000                  6.9999999993737605E-001                  2.8000000006262415E-001                  1.9999999999999796E-002                  1.5991164560483660E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433021096815E+000 
                                      19                  1.9999999994030002E+000                  4.3555615661614511E-001                  3.8227366686467845E+000                 -6.9562611150721150E+000                  4.6708814429469019E+000                  6.9999999993737605E-001                  2.8000000006262415E-001                  1.9999999999999796E-002                  1.6227246980294376E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433021171964E+000 
                                      20                  1.9999999993717501E+000                  4.3555331044321427E-001                  3.8283083626099121E+000                 -6.9526167866525741E+000                  4.6801803426812141E+000                  6.9999999993737605E-001                  2.8000000006262415E-001                  1.9999999999999796E-002                  1.6364032817392194E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433021209561E+000 
                                      21                  1.9999999993405004E+000                  4.3555048799840801E-001                  3.8342571269513495E+000                 -6.9495639702049230E+000                  4.6892845397546026E+000                  6.9999999993737605E-001                  2.8000000006262415E-001                  1.9999999999999796E-002                  1.6479504134199346E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433021247175E+000 
                                      22                  1.9999999993092505E+000                  4.3554768526958526E-001                  3.8406253488002453E+000                 -6.9471432244598210E+000                  4.6982020238458979E+000                  6.9999999993737605E-001                  2.8000000006262415E-001                  1.9999999999999796E-002                  1.6571646714764627E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2357433021284798E+000 
